12,1,1400,1845129,54
12,2,1500,1713274,-11
12,3,1600,1599005,-61
12,4,1500,1499140,16
12,5,1400,1599101,35
12,6,1300,1713418,133
12,7,1200,1845136,61
12,8,1100,1998907,75
12,9,1000,2180640,95
12,10,900,2398671,72
12,11,800,2665222,112
12,12,700,2998228,-20
12,13,600,3426469,-101
12,14,600,3997692,28
12,15,600,3997976,312
12,16,700,3997633,-31
12,17,800,3426586,16
12,18,900,2998539,291
12,19,1000,2665320,210
12,20,1100,2398833,234
12,21,1200,2180920,375
12,22,1300,1999111,279
12,23,1400,1845071,-4
12,24,1500,1713257,-28
12,25,1600,1599014,-52
12,26,1700,1499078,-46
12,27,1798,1410937,-3
12,28,1795,1334134,97
12,29,1794,1336317,50
