10,1,1400,1848420,2267
10,2,1500,1716454,2169
10,3,1400,1601885,1885
10,4,1300,1716355,2070
10,5,1200,1848395,2242
10,6,1100,2002475,2475
10,7,1000,2184543,2725
10,8,900,2402979,2979
10,9,800,2670000,3334
10,10,700,3003891,3891
10,11,600,3433049,4478
10,12,600,4004805,4805
10,13,600,4004803,4803
10,14,700,4004782,4782
10,15,800,3432814,4243
10,16,900,3003738,3738
10,17,1000,2669822,3156
10,18,1100,2402812,2812
10,19,1200,2184452,2634
10,20,1300,2002420,2420
10,21,1400,1848489,2336
10,22,1500,1716492,2207
10,23,1600,1602086,2086
10,24,1700,1501860,1860
10,25,1795,1413609,1845
10,26,1796,1338821,1774
10,27,1793,1338082,1780
10,28,1798,1340324,1786
