12,1,1400,1845366,-787
12,2,1500,1713418,-867
12,3,1400,1599157,-843
12,4,1300,1713489,-796
12,5,1200,1845344,-809
12,6,1100,1999015,-985
12,7,1000,2180765,-1053
12,8,900,2398941,-1059
12,9,800,2665382,-1284
12,10,700,2998932,-1068
12,11,600,3427225,-1346
12,12,600,3997888,-2112
12,13,600,3997782,-2218
12,14,700,3997831,-2169
12,15,800,3426644,-1927
12,16,900,2998419,-1581
12,17,1000,2665222,-1444
12,18,1100,2398657,-1343
12,19,1200,2180745,-1073
12,20,1300,1998959,-1041
12,21,1400,1845191,-962
12,22,1500,1713337,-948
12,23,1600,1599284,-716
12,24,1700,1499370,-630
12,25,1795,1411132,-632
12,26,1796,1336409,-638
12,27,1793,1335618,-684
12,28,1798,1337968,-570
