11,1,1400,1846951,-342
11,2,1500,1715062,-282
11,3,1600,1600808,-180
11,4,1500,1500640,-287
11,5,1400,1600626,-362
11,6,1300,1715037,-307
11,7,1200,1847026,-267
11,8,1100,2000962,-274
11,9,1000,2182688,-477
11,10,900,2401173,-310
11,11,800,2667933,-380
11,12,700,3001463,-391
11,13,600,3430527,-162
11,14,600,4002006,-466
11,15,600,4002387,-85
11,16,700,4002240,-232
11,17,800,3430156,-533
11,18,900,3001444,-410
11,19,1000,2667828,-485
11,20,1100,2401223,-260
11,21,1200,2182937,-228
11,22,1300,2001028,-208
11,23,1400,1847044,-249
11,24,1500,1715061,-283
11,25,1600,1600823,-165
11,26,1700,1500670,-257
11,27,1799,1412336,-299
11,28,1800,1334642,-256
11,29,1798,1333752,-404
11,30,1798,1335292,-348
