10,1,1400,1848715,-57
10,2,1500,1716549,-168
10,3,1600,1602037,-233
10,4,1500,1501923,-205
10,5,1400,1601995,-275
10,6,1300,1716340,-377
10,7,1200,1848515,-257
10,8,1100,2002466,-372
10,9,1000,2184594,-318
10,10,900,2403079,-326
10,11,800,2670075,-374
10,12,700,3003671,-586
10,13,600,3432817,-618
10,14,600,4005041,-635
10,15,601,4005205,-471
10,16,701,3998585,-425
10,17,801,3428201,-336
10,18,901,3000146,-359
10,19,1001,2667326,-158
10,20,1101,2400973,-30
10,21,1201,2182847,-81
10,22,1301,2001054,-115
10,23,1401,1847188,-162
10,24,1501,1715357,-135
10,25,1601,1600955,-246
10,26,1701,1500968,-222
10,27,1792,1412781,-153
10,28,1792,1341101,-84
10,29,1792,1341046,-139
