13,1,1301,1863895,-51
13,2,1310,1848171,-14
13,3,1319,1835426,-64
13,4,1319,1822852,-113
13,5,1310,1822781,-184
13,6,1312,1835413,-77
13,7,1318,1832652,-39
13,8,1313,1824456,109
13,9,1312,1831555,260
13,10,1311,1832841,150
13,11,1301,1834112,24
13,12,1306,1848429,244
13,13,1303,1841442,332
13,14,1310,1845757,408
13,15,1309,1835709,219
13,16,1296,1836995,104
13,17,1306,1855389,73
13,18,1307,1841117,7
13,19,1304,1839696,-6
13,20,1316,1843917,-17
13,21,1311,1827041,-79
13,22,1287,1833993,-95
13,23,1301,1868215,-75
13,24,1293,1848179,-6
13,25,1251,1859697,75
13,26,1249,1922093,38
13,27,1238,1925119,-14
13,28,1270,1942252,15
13,29,1226,1893414,115
13,30,1276,1961374,126
13,31,1274,1884570,174
13,32,1266,1887606,252
13,33,1258,1899713,432
13,34,1274,1911750,391
13,35,1263,1887524,170
