13,1,1400,1849818,210
13,2,1500,1717804,248
13,3,1600,1603250,181
13,4,1700,1502946,84
13,5,1795,1414604,174
13,6,1791,1339743,142
13,7,1795,1342714,131
13,8,1796,1339841,253
13,9,1795,1338937,60
13,10,1798,1339705,138
13,11,1796,1337392,38
13,12,1795,1339036,223
13,13,1798,1339792,177
13,14,1796,1337496,130
13,15,1792,1338913,72
13,16,1796,1341968,156
13,17,1796,1338982,134
13,18,1793,1338872,30
13,19,1796,1341064,13
13,20,1799,1338941,136
13,21,1796,1336672,61
13,22,1794,1338884,64
13,23,1796,1340670,357
13,24,1795,1339022,113
13,25,1800,1339643,61
13,26,1796,1335996,150
13,27,1796,1338988,141
13,28,1795,1339026,182
13,29,1795,1339816,213
13,30,1794,1339909,297
13,31,1795,1340552,169
13,32,1796,1339808,209
13,33,1798,1339043,179
13,34,1795,1337489,123
13,35,1799,1339777,192
