13,1,1400,1850197,589
13,2,1500,1717944,451
13,3,1600,1603156,161
13,4,1700,1502939,131
13,5,1796,1414428,23
13,6,1796,1338905,103
13,7,1788,1338893,91
13,8,1793,1344984,191
13,9,1795,1341336,294
13,10,1796,1339861,312
13,11,1795,1339162,360
13,12,1796,1339742,193
13,13,1796,1339019,217
13,14,1796,1338983,181
13,15,1796,1339025,223
13,16,1796,1339016,214
13,17,1796,1339142,340
13,18,1794,1339068,266
13,19,1795,1340629,335
13,20,1798,1339891,342
13,21,1796,1337550,237
13,22,1796,1338941,139
13,23,1798,1339019,217
13,24,1796,1337463,150
13,25,1794,1338941,139
13,26,1796,1340371,77
13,27,1800,1338841,39
13,28,1800,1336023,195
13,29,1798,1335994,166
13,30,1799,1337460,147
13,31,1799,1336652,81
13,32,1800,1336707,136
13,33,1800,1335942,114
13,34,1799,1335987,159
13,35,1799,1336804,233
