13,1,1400,1849475,3322
13,2,1500,1717343,3058
13,3,1600,1602897,2897
13,4,1500,1502747,2747
13,5,1400,1602905,2905
13,6,1300,1717373,3088
13,7,1200,1849471,3318
13,8,1100,2003494,3494
13,9,1000,2185694,3876
13,10,900,2404440,4440
13,11,800,2671494,4828
13,12,700,3005606,5606
13,13,600,3435152,6581
13,14,604,4007586,7586
13,15,600,3980793,7284
13,16,700,4007134,7134
13,17,800,3434703,6132
13,18,900,3005622,5622
13,19,1000,2671739,5073
13,20,1100,2404486,4486
13,21,1200,2185905,4087
13,22,1300,2003534,3534
13,23,1400,1849393,3240
13,24,1500,1717372,3087
13,25,1600,1602887,2887
13,26,1700,1502697,2697
13,27,1795,1414263,2499
13,28,1796,1339412,2365
