13,1,1400,1849502,-106
13,2,1500,1717458,-35
13,3,1600,1603022,27
13,4,1500,1502802,-6
13,5,1400,1602971,-24
13,6,1300,1717507,14
13,7,1200,1849746,138
13,8,1100,2004055,311
13,9,1000,2186205,305
13,10,900,2404772,280
13,11,800,2671762,106
13,12,700,3005837,221
13,13,600,3435065,77
13,14,600,4007597,109
13,15,600,4008101,613
13,16,700,4008202,714
13,17,800,3435112,124
13,18,900,3005293,-323
13,19,1000,2671288,-368
13,20,1100,2404276,-216
13,21,1200,2185921,21
13,22,1300,2003838,94
13,23,1400,1849686,78
13,24,1500,1717649,156
13,25,1600,1603192,197
13,26,1700,1503024,216
13,27,1799,1414488,83
13,28,1800,1336682,111
